Brand,Car Name,Body Type,Seats,Fuel Type,Price_Lakh,Mileage_kmpl,Power_BHP,Safety_Stars,Rating_is,Price_Bucket,image_url
MG,MG Windsor EV,Hatchback,5.0,Electric,13.5,15.70165456048878,41.78,5.0,4.6,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Baojun_Yunduo_001.jpg/960px-Baojun_Yunduo_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG Hector,SUV,5.0,Petrol,13.99,14.759558823529412,27435.0,5.0,4.5,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Baojun_530_02_China_2018-03-20.jpg/960px-Baojun_530_02_China_2018-03-20.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG Comet EV,Hatchback,5.0,Electric,6.99,15.70165456048878,41.78,5.0,4.4,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Wuling_Air_EV_IMG005.jpg/960px-Wuling_Air_EV_IMG005.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG ZS EV,SUV,5.0,Electric,18.98,15.70165456048878,174.0,5.0,4.1,15-20L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/MG_ZS_Facelift_1X7A6412.jpg/960px-MG_ZS_Facelift_1X7A6412.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG Astor,SUV,5.0,Petrol,12.095,14.759558823529412,10569.0,5.0,4.2,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/MG_ZS_Facelift_1X7A6412.jpg/960px-MG_ZS_Facelift_1X7A6412.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG Hector Plus,SUV,6.0,"Diesel, Petrol",17.3,16.0,154.5,5.0,4.4,15-20L,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Baojun_530_02_China_2018-03-20.jpg/960px-Baojun_530_02_China_2018-03-20.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
MG,MG Gloster,SUV,7.0,Diesel,41.335,12.5,185.5,5.0,4.2,30-50L,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maxus_D90_01_China_2018-03-28.jpg/960px-Maxus_D90_01_China_2018-03-28.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Land Rover Defender,SUV,5.0,"Diesel, Petrol",104.0,23.0,461.0,5.0,4.8,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Land_Rover_Defender_110_Station_Wagon_2016_-_rear.jpg/960px-Land_Rover_Defender_110_Station_Wagon_2016_-_rear.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Range Rover Velar,SUV,5.0,"Diesel, Petrol",87.9,17.75,224.0,5.0,4.8,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Range_Rover_Velar_P250_SE_IMG_8831.jpg/960px-Range_Rover_Velar_P250_SE_IMG_8831.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Range Rover Sport,SUV,5.0,"Diesel, Petrol",140.0,11.0,486.0,5.0,4.8,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Range_Rover_Sport_Series_III_IMG_9449.jpg/960px-Range_Rover_Sport_Series_III_IMG_9449.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Range Rover,SUV,5.0,"Diesel, Petrol",239.0,10.5,470.0,5.0,4.7,100L+,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Land_Rover_Range_Rover_Autobiography_2016.jpg/960px-Land_Rover_Range_Rover_Autobiography_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Range Rover Evoque,SUV,5.0,"Diesel, Petrol",67.9,12.0,212.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Land_Rover_Range_Rover_Evoque_Convertible_2016_-_side.jpg/960px-Land_Rover_Range_Rover_Evoque_Convertible_2016_-_side.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Discovery Sport,SUV,7.0,Diesel,67.9,11.5,224.0,5.0,4.2,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Land_Rover_Discovery_Sport_HSE_Luxury_TD4_2016.jpg/960px-Land_Rover_Discovery_Sport_HSE_Luxury_TD4_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Land Rover,Discovery,SUV,7.0,Petrol,97.0,10.5,296.0,5.0,4.7,50-100L,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Space_Shuttle_Discovery_under_a_full_moon%2C_03-11-09.jpg/960px-Space_Shuttle_Discovery_under_a_full_moon%2C_03-11-09.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Renault,Renault Triber,MUV,7.0,Petrol,7.485,18.5,71.0,4.0,4.5,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Renault_Triber_%28front_view%29.png/960px-Renault_Triber_%28front_view%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Renault,Renault Kwid,Hatchback,5.0,Petrol,5.575,21.5,67.0,1.0,4.4,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Renault_Kwid_2017_in_Montevideo_%28front%29.jpg/960px-Renault_Kwid_2017_in_Montevideo_%28front%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Renault,Renault Kiger,SUV,5.0,Petrol,8.615,19.0,85.0,4.0,4.5,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Renault_Kiger_F_202103.jpg/960px-Renault_Kiger_F_202103.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Citroen,Citroen C3,Hatchback,5.0,Petrol,6.16,18.5,94.5,5.0,4.4,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/2020_Citro%C3%ABn_C3_%283rd_generation%29_DSC_7374.jpg/960px-2020_Citro%C3%ABn_C3_%283rd_generation%29_DSC_7374.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
